Date,Province,Cases
15 mrt. 2020,Liège,15
15 mrt. 2020,Limburg,37
15 mrt. 2020,Luxembourg,1
15 mrt. 2020,Namur,1
15 mrt. 2020,OostVlaanderen,19
16 mrt. 2020,Liège,48
16 mrt. 2020,Antwerpen,46
16 mrt. 2020,BrabantWallon,17
16 mrt. 2020,Brussels,62
16 mrt. 2020,Hainaut,46
16 mrt. 2020,Limburg,35
16 mrt. 2020,Luxembourg,5
16 mrt. 2020,OostVlaanderen,36
16 mrt. 2020,VlaamsBrabant,43
16 mrt. 2020,WestVlaanderen,40
17 mrt. 2020,BrabantWallon,18
17 mrt. 2020,Brussels,29
17 mrt. 2020,Hainaut,52
17 mrt. 2020,Liège,45
17 mrt. 2020,Limburg,66
17 mrt. 2020,Luxembourg,3
17 mrt. 2020,Namur,9
17 mrt. 2020,OostVlaanderen,39
17 mrt. 2020,VlaamsBrabant,41
17 mrt. 2020,WestVlaanderen,56
17 mrt. 2020,Antwerpen,54
18 mrt. 2020,WestVlaanderen,58
18 mrt. 2020,VlaamsBrabant,61
18 mrt. 2020,OostVlaanderen,53
18 mrt. 2020,Namur,21
18 mrt. 2020,Luxembourg,15
18 mrt. 2020,Limburg,58
18 mrt. 2020,Liège,47
18 mrt. 2020,Hainaut,77
18 mrt. 2020,Brussels,58
18 mrt. 2020,BrabantWallon,25
18 mrt. 2020,Antwerpen,55
19 mrt. 2020,WestVlaanderen,73
19 mrt. 2020,OostVlaanderen,59
19 mrt. 2020,Antwerpen,82
19 mrt. 2020,BrabantWallon,26
19 mrt. 2020,Brussels,55
19 mrt. 2020,Hainaut,72
19 mrt. 2020,Liège,80
19 mrt. 2020,Limburg,97
19 mrt. 2020,Luxembourg,46
19 mrt. 2020,Namur,21
19 mrt. 2020,VlaamsBrabant,70
20 mrt. 2020,WestVlaanderen,64
20 mrt. 2020,Antwerpen,67
20 mrt. 2020,VlaamsBrabant,77
20 mrt. 2020,OostVlaanderen,74
20 mrt. 2020,Namur,15
20 mrt. 2020,Luxembourg,3
20 mrt. 2020,Limburg,111
20 mrt. 2020,Liège,73
20 mrt. 2020,Hainaut,79
20 mrt. 2020,Brussels,70
20 mrt. 2020,BrabantWallon,19
21 mrt. 2020,WestVlaanderen,37
21 mrt. 2020,VlaamsBrabant,47
21 mrt. 2020,OostVlaanderen,39
21 mrt. 2020,Namur,10
21 mrt. 2020,Luxembourg,8
21 mrt. 2020,Antwerpen,63
21 mrt. 2020,Limburg,62
21 mrt. 2020,Liège,74
